bucket,bucket_label,stage,record_index,title,human_decision,model_decision,vote_split,mean_include_probability,theme_label,paper_note,representative_rationale
ambiguous_or_reasonable,Arguably Reasonable,L1,23,An overview of diarrhea in ICU patients receiving enteral nutrition,Full_text_exclude,exclude,0 include / 6 exclude,0.07,Review or overview with no explicit fiber,"Review-style ICU diarrhea paper had no explicit fiber intervention, so exclusion was defensible.",Title/abstract describe a general overview of enteral-nutrition–related diarrhea in ICU patients and do not indicate any dietary fiber-containing enteral intervention.
ambiguous_or_reasonable,Arguably Reasonable,L1,25,Diarrhea in intensive care: Diagnosis and treatment,Full_text_exclude,exclude,1 include / 5 exclude,0.217,Review or overview with no explicit fiber,Another generic ICU diarrhea review that humans sent to full text but models saw as clearly out of scope.,"ICU population is relevant, but the title/abstract do not describe a dietary-fiber enteral intervention/exposure; they discuss diarrhea diagnosis/treatment and generic enteral nutrition."
ambiguous_or_reasonable,Arguably Reasonable,L2,17,The effects of psyllium hydrophilic mucilloid on diarrhea in enterally fed patients,Full_text_include,exclude,0 include / 6 exclude,0.067,Strict 100 percent icu interpretation,"The full text described a mixed ICU and medical-surgical sample, so strict exclusion was understandable.","Full text states subjects were enrolled from both ICU and general medical-surgical units, so the population was not 100% ICU/critically ill as required."
ambiguous_or_reasonable,Arguably Reasonable,L2,20,Benefits of a synbiotic formula (Synbiotic 2000 Forte) in critically Ill trauma patients: early results of a randomized controlled trial,Full_text_exclude,include,5 include / 1 exclude,0.793,Comparator rule disagreement,Comparator eligibility in the synbiotic trauma trial appears genuinely contestable from the criteria wording.,"Peer-reviewed English RCT in 100% ICU/critically ill trauma patients testing enterally administered synbiotic formula containing prebiotic fiber components versus non-fiber placebo, with clinical health outcomes reported."
ambiguous_or_reasonable,Arguably Reasonable,L2,22,Additional oligofructose/inulin does not increase faecal bifidobacteria in critically ill patients receiving enteral nutrition: a randomised controlled trial,Full_text_exclude,include,4 include / 2 exclude,0.665,Comparator rule disagreement,"The placebo was non-fiber, but the formula context made the comparator logic debatable.","Peer-reviewed English RCT in 100% ICU adults receiving enteral fiber-containing formula plus oligofructose/inulin versus non-fiber placebo, reporting clinical/biological outcomes."
ambiguous_or_reasonable,Arguably Reasonable,L2,28,Effect of a fecal bulking agent on diarrhea during enteral feeding in the critically ill,Full_text_exclude,include,4 include / 2 exclude,0.635,Comparator rule disagreement,The comparator looked fiber-based to one reading and non-fiber enough to another.,"Randomized ICU trial of enteral ispaghula husk, but the comparator is a wheat-based breakfast cereal placebo, i.e., a fiber-based placebo/comparator, which is excluded for RCTs."
clearly_wrong,Clearly Wrong,L1,58,The effects of synbiotics on morbidity and mortality in newborns with cyanotic congenital heart disease: A prospective randomized controlled trial,Title_abstract_exclude,include,4 include / 2 exclude,0.65,Pediatric or neonatal population boundary,Neonatal/NICU population was outside the intended adult critical-care target.,"NICU newborns received an enteral synbiotic (prebiotic/probiotic) in an RCT; placebo type is not specified, so there is no clear L1 exclusion."
clearly_wrong,Clearly Wrong,L1,59,The propre-save study: effects of probiotics and prebiotics alone or combined on necrotizing enterocolitis in very low birth weight infants,Title_abstract_exclude,include,4 include / 2 exclude,0.647,Pediatric or neonatal population boundary,Very-low-birth-weight infant study was treated as on-target ICU evidence.,"NICU infants received enteral prebiotic/probiotic/synbiotic in an RCT, matching ICU population and eligible fiber-related exposure."
clearly_wrong,Clearly Wrong,L1,61,"Tolerance, safety, and effect on the faecal microbiota of an enteral formula supplemented with pre- and probiotics in critically ill children",Title_abstract_exclude,include,5 include / 1 exclude,0.722,Pediatric or neonatal population boundary,Pediatric ICU synbiotic trial was advanced despite the review targeting adult critical-care patients.,"ICU/critically ill children received an enteral synbiotic formula containing fiber components; comparator details are not fully clear, so this should advance to L2."
clearly_wrong,Clearly Wrong,L1,167,"Soy-polysaccharide fiber: Effect on diarrhea in tube-fed, head-injured patients",Title_abstract_exclude,include,5 include / 1 exclude,0.673,Non icu or mixed population boundary,Head-injured tube-fed patients were treated as ICU/critical-care despite no explicit ICU signal.,"Fiber-containing enteral RCT is relevant, but the abstract does not explicitly confirm all patients were ICU/critically ill, so it should be retained for L2."
clearly_wrong,Clearly Wrong,L1,179,Fiber-fortified feedings in immobile patients,Title_abstract_exclude,include,4 include / 2 exclude,0.567,Non icu or mixed population boundary,"Immobile tube-fed patients were advanced on topic similarity alone, not population match.","Fiber-fortified enteral feeding is relevant, but the abstract does not clearly state whether all patients were ICU/critically ill, so population remains unclear at L1."
clearly_wrong,Clearly Wrong,L1,214,Reduction in diarrhea incidence by soluble fiber in patients receiving total or supplemental enteral nutrition,Title_abstract_exclude,include,5 include / 1 exclude,0.647,Generic enteral fiber relevance without clear icu match,Postoperative enteral-nutrition trial lacked the ICU/critical-ill population required by the review.,"Fiber-supplemented enteral RCT is on topic, but the abstract does not explicitly confirm a 100% ICU/critically ill population, so retain for L2."
