stage,record_index,title,human_decision,final_decision,error_type,readable_category,manual_note,vote_split,mean_include_probability
L1,23,An overview of diarrhea in ICU patients receiving enteral nutrition,Full_text_exclude,exclude,false_negative,Review-style ICU paper with no explicit fiber intervention,"Human sent to full text, but pipeline treated it as generic ICU diarrhea review without explicit fiber exposure.",0 include / 6 exclude,0.07
L1,25,Diarrhea in intensive care: Diagnosis and treatment,Full_text_exclude,exclude,false_negative,Review-style ICU paper with no explicit fiber intervention,"Human sent to full text, but pipeline treated it as generic ICU diarrhea review without explicit fiber exposure.",1 include / 5 exclude,0.2166666666666666
L1,53,A review of enteral strategies in infant short bowel syndrome: evidence-based or NICU culture?,Title_abstract_exclude,include,false_positive,Pediatric or neonatal population mismatch,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target.",2 include / 4 exclude,0.2783333333333333
L1,56,Relationship Between Dietary Fiber Intake and Short-Chain Fatty Acid-Producing Bacteria During Critical Illness: A Prospective Cohort Study,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 0 exclude,0.9733333333333332
L1,58,The effects of synbiotics on morbidity and mortality in newborns with cyanotic congenital heart disease: A prospective randomized controlled trial,Title_abstract_exclude,include,false_positive,Pediatric or neonatal population mismatch,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target.",4 include / 2 exclude,0.65
L1,59,The propre-save study: effects of probiotics and prebiotics alone or combined on necrotizing enterocolitis in very low birth weight infants,Title_abstract_exclude,include,false_positive,Pediatric or neonatal population mismatch,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target.",4 include / 2 exclude,0.6466666666666666
L1,61,"Tolerance, safety, and effect on the faecal microbiota of an enteral formula supplemented with pre- and probiotics in critically ill children",Title_abstract_exclude,include,false_positive,Pediatric or neonatal population mismatch,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target.",5 include / 1 exclude,0.7216666666666667
L1,67,Nutrition and multiple organ dysfunction syndrome,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.44
L1,82,The effects of synbiotic use on morbidity and mortality in premature infants: A prospective randomized controlled trial,Title_abstract_exclude,include,false_positive,Pediatric or neonatal population mismatch,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target.",3 include / 3 exclude,0.43
L1,85,Review: Strategies to manage gastrointestinal symptoms complicating enteral feeding,Title_abstract_exclude,include,false_positive,Review-like paper intentionally forwarded by the liberal L1 policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.,3 include / 3 exclude,0.42
L1,92,Aggressive management of surgical emergencies,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",2 include / 4 exclude,0.31
L1,101,Case study: Enteral formula: Selecting the right formula for your patient,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,4 include / 2 exclude,0.4000000000000001
L1,120,Fibre supplementation of enteral formula-diets: A look to the evidence,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.45
L1,139,Nutrition and sepsis,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,2 include / 4 exclude,0.2633333333333333
L1,140,Fiber-containing formula and needle catheter jejunostomies: a clinical evaluation,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,4 include / 2 exclude,0.5516666666666666
L1,149,Sporulated Bacillus as alternative treatment for diarrhea of hospitalized adult patients under enteral nutrition: A pilot randomized controlled study,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",5 include / 1 exclude,0.6333333333333334
L1,155,Bacterial translocation: The influence of dietary variables,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,2 include / 4 exclude,0.305
