record_index,error_type,theme,manual_note
23,false_negative,review_or_overview_with_no_explicit_fiber,"Human sent to full text, but pipeline treated it as generic ICU diarrhea review without explicit fiber exposure."
25,false_negative,review_or_overview_with_no_explicit_fiber,"Human sent to full text, but pipeline treated it as generic ICU diarrhea review without explicit fiber exposure."
53,false_positive,pediatric_or_neonatal_population_boundary,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target."
56,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
58,false_positive,pediatric_or_neonatal_population_boundary,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target."
59,false_positive,pediatric_or_neonatal_population_boundary,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target."
61,false_positive,pediatric_or_neonatal_population_boundary,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target."
67,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
82,false_positive,pediatric_or_neonatal_population_boundary,"Fiber or ICU-adjacent signal is present, but the paper looks outside the adult critical-care target."
85,false_positive,review_forwarded_by_l1_policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.
92,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
101,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
120,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
139,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
140,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
149,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
155,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
160,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
167,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
168,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
179,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
199,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
200,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
202,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
211,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
214,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
215,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
216,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
222,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
239,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
243,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
246,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
277,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
283,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
285,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
289,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
315,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
327,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
329,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
330,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
331,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
336,false_positive,review_forwarded_by_l1_policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.
346,false_positive,non_icu_or_mixed_population_boundary,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated."
354,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
387,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
401,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
404,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
417,false_positive,generic_enteral_fiber_relevance_without_clear_icu_match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.
449,false_positive,review_forwarded_by_l1_policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.
450,false_positive,fiber_adjacent_prebiotic_or_synbiotic_scope,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.
455,false_positive,review_forwarded_by_l1_policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.
